"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
CAL,"11/30/2019 12 a.m. EST",31759,31597,18677,-9372
CAL,"11/30/2019 1 a.m. EST",30910,30713,18101,-9221
CAL,"11/30/2019 2 a.m. EST",29230,29301,16891,-8834
CAL,"11/30/2019 3 a.m. EST",27559,27673,15924,-8632
CAL,"11/30/2019 4 a.m. EST",26316,26588,15095,-8563
CAL,"11/30/2019 5 a.m. EST",25559,25697,14551,-8573
CAL,"11/30/2019 6 a.m. EST",24909,25162,14274,-8497
CAL,"11/30/2019 7 a.m. EST",24656,24905,14457,-8204
CAL,"11/30/2019 8 a.m. EST",24869,25189,14600,-8059
CAL,"11/30/2019 9 a.m. EST",25547,25992,15074,-7923
CAL,"11/30/2019 10 a.m. EST",26436,27062,15612,-8109
CAL,"11/30/2019 11 a.m. EST",26585,27706,17193,-7412
CAL,"11/30/2019 12 p.m. EST",27000,28074,18155,-7024
CAL,"11/30/2019 1 p.m. EST",27761,27999,19560,-7068
CAL,"11/30/2019 2 p.m. EST",28220,27931,19682,-6974
CAL,"11/30/2019 3 p.m. EST",27815,27658,19481,-6559
CAL,"11/30/2019 4 p.m. EST",28322,27445,18880,-7177
CAL,"11/30/2019 5 p.m. EST",28709,27281,19789,-7775
CAL,"11/30/2019 6 p.m. EST",29050,27436,19304,-7502
CAL,"11/30/2019 7 p.m. EST",29923,28056,18387,-7714
CAL,"11/30/2019 8 p.m. EST",31404,29682,19143,-8527
CAL,"11/30/2019 9 p.m. EST",32989,32470,18977,-9310
CAL,"11/30/2019 10 p.m. EST",32892,32735,19128,-9284
CAL,"11/30/2019 11 p.m. EST",32377,32110,18995,-9105
CAL,"12/1/2019 12 a.m. EST",31682,31281,18655,-9363
CAL,"12/1/2019 1 a.m. EST",30679,30282,17860,-9134
CAL,"12/1/2019 2 a.m. EST",29034,28760,16853,-8546
CAL,"12/1/2019 3 a.m. EST",27246,27232,15639,-8153
CAL,"12/1/2019 4 a.m. EST",25986,25460,15095,-7939
CAL,"12/1/2019 5 a.m. EST",25101,24520,14856,-7554
CAL,"12/1/2019 6 a.m. EST",24512,23871,14503,-7552
CAL,"12/1/2019 7 a.m. EST",24134,23522,14341,-7592
CAL,"12/1/2019 8 a.m. EST",24020,23578,14435,-7548
CAL,"12/1/2019 9 a.m. EST",24425,24192,14272,-7522
CAL,"12/1/2019 10 a.m. EST",25256,25028,15035,-8012
CAL,"12/1/2019 11 a.m. EST",25644,25518,16259,-7840
CAL,"12/1/2019 12 p.m. EST",26309,25651,17378,-7901
CAL,"12/1/2019 1 p.m. EST",26620,25511,18200,-7168
CAL,"12/1/2019 2 p.m. EST",26861,25205,17768,-7355
CAL,"12/1/2019 3 p.m. EST",26837,24752,18469,-7097
CAL,"12/1/2019 4 p.m. EST",26922,24559,18672,-6600
CAL,"12/1/2019 5 p.m. EST",27035,24585,18808,-6501
CAL,"12/1/2019 6 p.m. EST",27379,25084,18392,-6406
CAL,"12/1/2019 7 p.m. EST",28555,26050,17762,-7355
CAL,"12/1/2019 8 p.m. EST",30454,28315,18843,-8249
CAL,"12/1/2019 9 p.m. EST",32742,31742,19601,-8258
CAL,"12/1/2019 10 p.m. EST",33017,32431,19662,-8480
CAL,"12/1/2019 11 p.m. EST",32503,32098,19497,-8552
CAL,"12/2/2019 12 a.m. EST",31785,31406,19013,-8848
CAL,"12/2/2019 1 a.m. EST",30354,30204,17881,-8705
CAL,"12/2/2019 2 a.m. EST",28264,28319,16441,-8345
CAL,"12/2/2019 3 a.m. EST",26225,26367,15391,-7829
CAL,"12/2/2019 4 a.m. EST",25501,25022,15596,-7585
CAL,"12/2/2019 5 a.m. EST",24760,24178,14985,-7307
CAL,"12/2/2019 6 a.m. EST",24290,23676,14801,-7186
CAL,"12/2/2019 7 a.m. EST",24249,23713,14990,-7267
CAL,"12/2/2019 8 a.m. EST",25144,24458,15721,-7549
CAL,"12/2/2019 9 a.m. EST",27036,26447,17235,-7568
CAL,"12/2/2019 10 a.m. EST",29875,29404,19594,-7561
CAL,"12/2/2019 11 a.m. EST",31353,31078,20843,-7575
CAL,"12/2/2019 12 p.m. EST",30987,31275,22108,-6935
CAL,"12/2/2019 1 p.m. EST",30513,31137,21875,-6409
CAL,"12/2/2019 2 p.m. EST",29988,30912,22011,-6003
CAL,"12/2/2019 3 p.m. EST",29767,30687,21142,-5810
CAL,"12/2/2019 4 p.m. EST",30006,30556,21346,-6479
CAL,"12/2/2019 5 p.m. EST",30404,30663,21010,-6893
CAL,"12/2/2019 6 p.m. EST",30530,30974,21016,-6888
CAL,"12/2/2019 7 p.m. EST",31568,31451,19870,-7772
CAL,"12/2/2019 8 p.m. EST",33130,33048,21444,-8294
CAL,"12/2/2019 9 p.m. EST",35297,35584,21085,-8822
CAL,"12/2/2019 10 p.m. EST",35345,35781,21221,-9114
CAL,"12/2/2019 11 p.m. EST",34648,35168,20898,-8793
CAL,"12/3/2019 12 a.m. EST",33753,34075,19954,-8826
CAL,"12/3/2019 1 a.m. EST",32335,32332,18867,-9103
CAL,"12/3/2019 2 a.m. EST",29944,29901,17213,-8707
CAL,"12/3/2019 3 a.m. EST",27664,27632,16277,-8175
CAL,"12/3/2019 4 a.m. EST",26444,25730,15347,-7982
CAL,"12/3/2019 5 a.m. EST",25496,24884,14772,-7966
CAL,"12/3/2019 6 a.m. EST",24815,24340,14190,-7909
CAL,"12/3/2019 7 a.m. EST",24503,24283,14061,-7763
CAL,"12/3/2019 8 a.m. EST",25091,24994,14515,-7503
CAL,"12/3/2019 9 a.m. EST",26970,27125,16301,-7777
CAL,"12/3/2019 10 a.m. EST",30045,30112,18495,-8411
CAL,"12/3/2019 11 a.m. EST",31632,31750,19464,-8861
CAL,"12/3/2019 12 p.m. EST",31566,31791,20185,-8689
CAL,"12/3/2019 1 p.m. EST",31344,31553,20516,-7991
CAL,"12/3/2019 2 p.m. EST",31097,31297,20618,-7947
CAL,"12/3/2019 3 p.m. EST",30967,31021,20510,-7753
CAL,"12/3/2019 4 p.m. EST",30975,30900,20510,-7984
CAL,"12/3/2019 5 p.m. EST",31329,30994,20044,-8177
CAL,"12/3/2019 6 p.m. EST",31675,31185,19656,-8497
CAL,"12/3/2019 7 p.m. EST",32244,31434,19646,-8535
CAL,"12/3/2019 8 p.m. EST",33511,32906,21466,-8449
CAL,"12/3/2019 9 p.m. EST",35426,35586,21194,-8787
CAL,"12/3/2019 10 p.m. EST",35428,35635,20194,-9521
CAL,"12/3/2019 11 p.m. EST",34910,34994,20088,-9739
CAL,"12/4/2019 12 a.m. EST",33916,34005,19156,-9674
CAL,"12/4/2019 1 a.m. EST",32284,32381,18071,-9566
CAL,"12/4/2019 2 a.m. EST",29837,29995,16561,-9134
CAL,"12/4/2019 3 a.m. EST",27506,27698,15503,-8432
CAL,"12/4/2019 4 a.m. EST",26154,25989,14879,-8718
CAL,"12/4/2019 5 a.m. EST",25174,25073,14252,-8434
CAL,"12/4/2019 6 a.m. EST",24501,24431,14250,-8231
CAL,"12/4/2019 7 a.m. EST",24394,24286,14375,-8057
CAL,"12/4/2019 8 a.m. EST",25019,24901,14600,-8138
CAL,"12/4/2019 9 a.m. EST",26838,26764,16220,-8539
CAL,"12/4/2019 10 a.m. EST",29825,29694,18380,-9347
CAL,"12/4/2019 11 a.m. EST",31797,31414,19362,-9702
CAL,"12/4/2019 12 p.m. EST",32737,31977,21057,-10070
CAL,"12/4/2019 1 p.m. EST",33367,32156,21143,-9887
CAL,"12/4/2019 2 p.m. EST",33779,32045,21941,-9699
CAL,"12/4/2019 3 p.m. EST",33333,31917,22061,-9518
CAL,"12/4/2019 4 p.m. EST",32651,31738,21259,-9069
CAL,"12/4/2019 5 p.m. EST",32345,31552,20284,-9494
CAL,"12/4/2019 6 p.m. EST",32280,31375,20034,-9330
CAL,"12/4/2019 7 p.m. EST",32504,31687,19530,-9485
CAL,"12/4/2019 8 p.m. EST",33727,32618,20743,-9815
CAL,"12/4/2019 9 p.m. EST",35731,35240,20437,-10313
CAL,"12/4/2019 10 p.m. EST",35708,35316,20667,-10595
CAL,"12/4/2019 11 p.m. EST",35008,34736,20152,-10144
CAL,"12/5/2019 12 a.m. EST",34041,33772,19652,-10253
CAL,"12/5/2019 1 a.m. EST",32384,32198,18082,-9858
CAL,"12/5/2019 2 a.m. EST",29936,29891,16248,-9540
CAL,"12/5/2019 3 a.m. EST",27632,27693,15069,-9300
CAL,"12/5/2019 4 a.m. EST",26301,25794,14674,-8891
CAL,"12/5/2019 5 a.m. EST",25361,24847,14344,-8644
CAL,"12/5/2019 6 a.m. EST",24723,24190,14370,-8274
CAL,"12/5/2019 7 a.m. EST",24561,24096,14325,-8069
CAL,"12/5/2019 8 a.m. EST",25172,24771,14893,-7997
CAL,"12/5/2019 9 a.m. EST",27096,26629,16300,-8660
CAL,"12/5/2019 10 a.m. EST",30046,29539,18211,-9241
CAL,"12/5/2019 11 a.m. EST",31314,31044,20142,-8984
CAL,"12/5/2019 12 p.m. EST",30769,31114,20804,-7624
CAL,"12/5/2019 1 p.m. EST",29922,30759,20747,-6602
CAL,"12/5/2019 2 p.m. EST",29599,30374,21756,-6383
CAL,"12/5/2019 3 p.m. EST",29404,29946,21299,-6379
CAL,"12/5/2019 4 p.m. EST",29611,29792,20998,-6496
CAL,"12/5/2019 5 p.m. EST",30141,29952,20322,-7255
CAL,"12/5/2019 6 p.m. EST",30300,30225,18884,-7870
CAL,"12/5/2019 7 p.m. EST",31095,30807,19278,-7621
CAL,"12/5/2019 8 p.m. EST",32957,32410,21388,-8431
CAL,"12/5/2019 9 p.m. EST",35184,35071,21552,-8615
CAL,"12/5/2019 10 p.m. EST",35144,35177,21004,-9368
CAL,"12/5/2019 11 p.m. EST",34597,34602,20884,-9093
CAL,"12/6/2019 12 a.m. EST",33759,33611,20327,-9210
CAL,"12/6/2019 1 a.m. EST",32257,32039,19020,-9176
CAL,"12/6/2019 2 a.m. EST",29927,29741,17492,-8734
CAL,"12/6/2019 3 a.m. EST",27726,27476,15942,-8289
CAL,"12/6/2019 4 a.m. EST",26182,25502,15066,-7916
CAL,"12/6/2019 5 a.m. EST",25177,24561,14610,-7620
CAL,"12/6/2019 6 a.m. EST",24544,23916,14597,-7377
